ten_cong_ty,ma_so_thue,slug
"CÔNG TY TNHH MINH NHẬT (HÀ TÂY VỀ, SỐ CŨ: 0302001485)", 0500493924,/0500493924-cong-ty-tnhh-minh-nhat-ha-tay-ve-so-cu-0302001485
"CÔNG TY TNHH SX THƯƠNG MẠI VÀ DỊCH VỤ TRƯỜNG SINH (CHUYỂN TỪ HÀ TÂY VỀ, SỐ CŨ: 0102041629)", 0500579441,/0500579441-cong-ty-tnhh-sx-thuong-mai-va-dich-vu-truong-sinh-chuyen-tu-ha-tay-ve-so-cu-0102041629
CÔNG TY TNHH NÔNG SẢN SẠCH BA VÌ, 0111067641,/0111067641-cong-ty-tnhh-nong-san-sach-ba-vi
CÔNG TY TNHH CÔNG NGHỆ VÀ THƯƠNG MẠI HUY HÙNG, 0111065813,/0111065813-cong-ty-tnhh-cong-nghe-va-thuong-mai-huy-hung
CÔNG TY CỔ PHẦN GIÁO DỤC NGOẠI NGỮ - TIN HỌC TRIỆU TUẤN, 0111063326,/0111063326-cong-ty-co-phan-giao-duc-ngoai-ngu-tin-hoc-trieu-tuan
CÔNG TY TNHH PHÁT TRIỂN NĂNG KHIẾU THỂ THAO TẢN VIÊN, 0111063164,/0111063164-cong-ty-tnhh-phat-trien-nang-khieu-the-thao-tan-vien
CÔNG TY TNHH CHUYỂN GIAO CÔNG NGHỆ HOÀNG GIA PHÁT, 0111063284,/0111063284-cong-ty-tnhh-chuyen-giao-cong-nghe-hoang-gia-phat
CÔNG TY CỔ PHẦN SẢN XUẤT VÀ KINH DOANH VẬT LIỆU XÂY DỰNG THÁI DƯƠNG, 0111063333,/0111063333-cong-ty-co-phan-san-xuat-va-kinh-doanh-vat-lieu-xay-dung-thai-duong
CÔNG TY CỔ PHẦN SẢN XUẤT ĐẦU TƯ THƯƠNG MẠI BẢO KIM, 0111063301,/0111063301-cong-ty-co-phan-san-xuat-dau-tu-thuong-mai-bao-kim
CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG KLB VIỆT NAM, 0111061417,/0111061417-cong-ty-tnhh-dau-tu-xay-dung-klb-viet-nam
CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN TRIỆU QUÂN ACADEMY, 0111061329,/0111061329-cong-ty-trach-nhiem-huu-han-mot-thanh-vien-trieu-quan-academy
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI VÀ DỊCH VỤ CƠ KHÍ DƯƠNG SƠN, 0111061375,/0111061375-cong-ty-tnhh-san-xuat-thuong-mai-va-dich-vu-co-khi-duong-son
CÔNG TY TNHH THƯƠNG MẠI ĐẦU TƯ VÀ SẢN XUẤT TRƯỜNG THÀNH, 0111059351,/0111059351-cong-ty-tnhh-thuong-mai-dau-tu-va-san-xuat-truong-thanh
CÔNG TY TNHH KINH DOANH VÀ SẢN XUẤT THỰC PHẨM AN LỘC, 0111057900,/0111057900-cong-ty-tnhh-kinh-doanh-va-san-xuat-thuc-pham-an-loc
CÔNG TY CỔ PHẦN PHÁT TRIỂN GIÁO DỤC BAN MAI, 0111056287,/0111056287-cong-ty-co-phan-phat-trien-giao-duc-ban-mai
CÔNG TY TNHH KINH DOANH VÀNG BẠC THỊNH HIỀN, 0111056255,/0111056255-cong-ty-tnhh-kinh-doanh-vang-bac-thinh-hien
CÔNG TY TNHH TƯ VẤN THIẾT KẾ VÀ CÔNG NGHỆ XÂY DỰNG G.E.N, 0111053215,/0111053215-cong-ty-tnhh-tu-van-thiet-ke-va-cong-nghe-xay-dung-g-e-n
CÔNG TY TNHH XUẤT NHẬP KHẨU GROWVET, 0111049748,/0111049748-cong-ty-tnhh-xuat-nhap-khau-growvet
CÔNG TY TNHH CHUYÊN KINH DOANH THƯƠNG MẠI THỰC PHẨM TƯƠI SỐNG HOÀNG CHUNG, 0111048399,/0111048399-cong-ty-tnhh-chuyen-kinh-doanh-thuong-mai-thuc-pham-tuoi-song-hoang-chung
CÔNG TY TNHH DỊCH VỤ TỔNG HỢP HỒNG PHÁT, 0111046747,/0111046747-cong-ty-tnhh-dich-vu-tong-hop-hong-phat
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HÀ VỊNH, 0111046698,/0111046698-cong-ty-tnhh-thuong-mai-dich-vu-ha-vinh
CÔNG TY TNHH TMDV & PT AN PHÁT, 0111044080,/0111044080-cong-ty-tnhh-tmdv-pt-an-phat
CÔNG TY CỔ PHẦN DƯỢC LIỆU BA VÌ, 0111044073,/0111044073-cong-ty-co-phan-duoc-lieu-ba-vi
CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI & XUẤT NHẬP KHẨU SƠN NGUYÊN, 0111041957,/0111041957-cong-ty-tnhh-san-xuat-thuong-mai-xuat-nhap-khau-son-nguyen
CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI HUY YẾN, 0111041072,/0111041072-cong-ty-tnhh-dau-tu-thuong-mai-huy-yen
CÔNG TY TNHH NGHIÊN CỨU VÀ SẢN XUẤT THIẾT BỊ NÔNG NGHIỆP VIỆT NAM, 0111035449,/0111035449-cong-ty-tnhh-nghien-cuu-va-san-xuat-thiet-bi-nong-nghiep-viet-nam
CÔNG TY CỔ PHẦN ICHOICE, 0111033716,/0111033716-cong-ty-co-phan-ichoice
CÔNG TY TNHH DỊCH VỤ KỸ THUẬT LẶN BIỂN XANH, 0111031437,/0111031437-cong-ty-tnhh-dich-vu-ky-thuat-lan-bien-xanh
VĂN PHÒNG ĐẠI DIỆN - CÔNG TY CỔ PHẦN DRAGCONS, 0107698965-001,/0107698965-001-van-phong-dai-dien-cong-ty-co-phan-dragcons
CÔNG TY TNHH XÂY DỰNG VẠN TUẾ, 0111028716,/0111028716-cong-ty-tnhh-xay-dung-van-tue
CÔNG TY CỔ PHẦN NƯỚC GIẢI KHÁT I-ON1 TH, 0111028709,/0111028709-cong-ty-co-phan-nuoc-giai-khat-i-on1-th
CÔNG TY TNHH THIẾT BỊ CÔNG NGHỆ SMARTTECH, 0111019969,/0111019969-cong-ty-tnhh-thiet-bi-cong-nghe-smarttech
CÔNG TY TNHH DỊCH VỤ Y TẾ THỊNH VƯỢNG, 0111019905,/0111019905-cong-ty-tnhh-dich-vu-y-te-thinh-vuong
CÔNG TY TNHH CHIẾN NGUYỄN MOTOR - CHI NHÁNH BA VÌ, 6200125166-003,/6200125166-003-cong-ty-tnhh-chien-nguyen-motor-chi-nhanh-ba-vi
CÔNG TY TNHH ONEXMOBILE, 0111017489,/0111017489-cong-ty-tnhh-onexmobile
CÔNG TY CỔ PHẦN TẬP ĐOÀN PRIMEFOOD, 0111014449,/0111014449-cong-ty-co-phan-tap-doan-primefood
CÔNG TY TNHH KS THUẬN THÀNH, 0111014047,/0111014047-cong-ty-tnhh-ks-thuan-thanh
CÔNG TY TNHH NEWLIFE ĐẶNG THU HƯƠNG, 0111012804,/0111012804-cong-ty-tnhh-newlife-dang-thu-huong
CÔNG TY CỔ PHẦN ĐẦU TƯ NÔNG NGHIỆP MTV, 0111011222,/0111011222-cong-ty-co-phan-dau-tu-nong-nghiep-mtv
CÔNG TY CỔ PHẦN NỘI THẤT LUXKTV, 0111011310,/0111011310-cong-ty-co-phan-noi-that-luxktv
CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG VÀ THƯƠNG MẠI LIÊN DUNG, 0111010042,/0111010042-cong-ty-tnhh-dau-tu-xay-dung-va-thuong-mai-lien-dung
CÔNG TY TNHH XÂY DỰNG HƯNG THỊNH HÀ THÀNH, 0111010035,/0111010035-cong-ty-tnhh-xay-dung-hung-thinh-ha-thanh
CÔNG TY TNHH MAY XUẤT KHẨU G8, 0111005860,/0111005860-cong-ty-tnhh-may-xuat-khau-g8
CÔNG TY TNHH THỜI TRANG AINEP, 0111005846,/0111005846-cong-ty-tnhh-thoi-trang-ainep
CÔNG TY TNHH DỊCH VỤ TƯ VẤN PHÁP LÝ LÂM TÚ, 0111005821,/0111005821-cong-ty-tnhh-dich-vu-tu-van-phap-ly-lam-tu
CÔNG TY TNHH TƯ VẤN VÀ THIẾT KẾ NỘI THẤT LUXERA, 0111002108,/0111002108-cong-ty-tnhh-tu-van-va-thiet-ke-noi-that-luxera
CÔNG TY TNHH JIN MI FOOD, 0110996312,/0110996312-cong-ty-tnhh-jin-mi-food
CÔNG TY TNHH XÂY DỰNG MẠNH CHUNG, 0110999546,/0110999546-cong-ty-tnhh-xay-dung-manh-chung
CÔNG TY CỔ PHẦN ĐẦU TƯ PHÁT TRIỂN THƯƠNG MẠI XÂY DỰNG ĐẠI PHÁT, 0110999105,/0110999105-cong-ty-co-phan-dau-tu-phat-trien-thuong-mai-xay-dung-dai-phat
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI DỊCH VỤ LINH CHI NGUYỄN, 0110991699,/0110991699-cong-ty-tnhh-san-xuat-va-thuong-mai-dich-vu-linh-chi-nguyen
CÔNG TY TNHH MAY GIA CÔNG KINH BẮC, 0110989749,/0110989749-cong-ty-tnhh-may-gia-cong-kinh-bac
CÔNG TY TNHH VIACADEMY, 0110989604,/0110989604-cong-ty-tnhh-viacademy
CÔNG TY TNHH TM DỆT MAY THỊNH PHÁT, 0110989756,/0110989756-cong-ty-tnhh-tm-det-may-thinh-phat
CÔNG TY TNHH THƯƠNG MẠI AHG VIỆT NAM, 0110986610,/0110986610-cong-ty-tnhh-thuong-mai-ahg-viet-nam
CÔNG TY TNHH DPC GROUP VIỆT NAM, 0110986674,/0110986674-cong-ty-tnhh-dpc-group-viet-nam
CÔNG TY TNHH THIẾT KẾ VÀ SẢN XUẤT BAO BÌ NGỌC THIÊN PHÁT, 0110983112,/0110983112-cong-ty-tnhh-thiet-ke-va-san-xuat-bao-bi-ngoc-thien-phat
CÔNG TY TNHH TƯ VẤN VÀ ĐÀO TẠO SENSI, 0110977126,/0110977126-cong-ty-tnhh-tu-van-va-dao-tao-sensi
CÔNG TY TNHH MTV XÂY DỰNG THÁI PHONG, 0110969397,/0110969397-cong-ty-tnhh-mtv-xay-dung-thai-phong
CÔNG TY TNHH DỊCH VỤ VÀ THƯƠNG MẠI VẬN TẢI NGỌC DŨNG, 0110962803,/0110962803-cong-ty-tnhh-dich-vu-va-thuong-mai-van-tai-ngoc-dung
CÔNG TY TNHH THƯƠNG MẠI KỸ THUẬT ĐIỆN MINH ANH, 0110963557,/0110963557-cong-ty-tnhh-thuong-mai-ky-thuat-dien-minh-anh
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI CƠ KHÍ MINH THỨ, 0110962539,/0110962539-cong-ty-tnhh-san-xuat-va-thuong-mai-co-khi-minh-thu
CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ VÀ ĐẦU TƯ PHÁT TRIỂN PHÚC ANH, 0110961101,/0110961101-cong-ty-tnhh-thuong-mai-dich-vu-va-dau-tu-phat-trien-phuc-anh
CÔNG TY TNHH CÂY XANH QUÂN HÀ, 0110959864,/0110959864-cong-ty-tnhh-cay-xanh-quan-ha
CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI VIN PHARMA, 0110957063,/0110957063-cong-ty-tnhh-san-xuat-va-thuong-mai-vin-pharma
CÔNG TY TNHH DỊCH VỤ VIỄN THÔNG LINH ANH, 0110956239,/0110956239-cong-ty-tnhh-dich-vu-vien-thong-linh-anh
CÔNG TY TNHH XÂY DỰNG THƯƠNG MẠI VÀ PHÁT TRIỂN PHÚ QUÝ, 0110955718,/0110955718-cong-ty-tnhh-xay-dung-thuong-mai-va-phat-trien-phu-quy
CÔNG TY TNHH GIÁO DỤC QUỐC TẾ IMFO, 0110954640,/0110954640-cong-ty-tnhh-giao-duc-quoc-te-imfo
CÔNG TY TNHH TƯ VẤN VÀ XÂY DỰNG TÂN THỊNH PHÁT, 0110953710,/0110953710-cong-ty-tnhh-tu-van-va-xay-dung-tan-thinh-phat
CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN THƯƠNG MẠI XÂY DỰNG TOÀN THẮNG, 0110951840,/0110951840-cong-ty-tnhh-dau-tu-va-phat-trien-thuong-mai-xay-dung-toan-thang
CÔNG TY TNHH GIÁO DỤC GIANG SƠN, 0110951826,/0110951826-cong-ty-tnhh-giao-duc-giang-son
CÔNG TY TNHH EDU ANPHA, 0110950678,/0110950678-cong-ty-tnhh-edu-anpha
CÔNG TY TNHH PHÁT TRIỂN GIÁO DỤC VÀ ĐÀO TẠO TUỆ MINH - CHI NHÁNH BA VÌ, 0110330378-001,/0110330378-001-cong-ty-tnhh-phat-trien-giao-duc-va-dao-tao-tue-minh-chi-nhanh-ba-vi
CÔNG TY TNHH THƯƠNG MẠI VÀ DỊCH VỤ BA VÌ ĐỒI CỎ LAU, 0110948326,/0110948326-cong-ty-tnhh-thuong-mai-va-dich-vu-ba-vi-doi-co-lau
CÔNG TY TNHH THƯƠNG MẠI VÀ CHẾ TẠO MÁY DUY KHÁNH, 0110948125,/0110948125-cong-ty-tnhh-thuong-mai-va-che-tao-may-duy-khanh
CÔNG TY TNHH BCC HEALTHCARE, 0110948164,/0110948164-cong-ty-tnhh-bcc-healthcare
CÔNG TY TNHH XÂY DỰNG MỘC XUÂN 139, 0110948439,/0110948439-cong-ty-tnhh-xay-dung-moc-xuan-139
CÔNG TY TNHH GMT HƯNG ĐẠO, 0110946223,/0110946223-cong-ty-tnhh-gmt-hung-dao
CÔNG TY TNHH KINH DOANH THƯƠNG MẠI VÀ SẢN XUẤT PHÚC HƯNG, 0110944850,/0110944850-cong-ty-tnhh-kinh-doanh-thuong-mai-va-san-xuat-phuc-hung
