mien,khu_vuc,tinh,name,name_short,name_global,tax,address,representative,phone,active_date,manage_by,category,status,last_update,conpany_briefcase,career_code,career_name,slug
Miền Trung,Miền Trung,Huế,"CÔNG TY TNHH MTV TƯ VẤN DỊCH VỤ XÂY DỰNG, ĐO ĐẠC - THIẾT KẾ NAM PHÁT",,,3301685257,"Thôn 9, Xã Hương Xuân, Huyện Nam Đông, Tỉnh Thừa Thiên Huế, Việt Nam",PHAN THẾ MẪN,0912738499,2020-11-09,Chi cục Thuế khu vực Phú Lộc - Nam Đông,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),2024-12-10 05:10:01,Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan,"4101, 4102, 4212, 4221, 4222, 4223, 4229, 4299, 7110","Xây dựng nhà để ở, Xây dựng nhà không để ở, Xây dựng công trình đường bộ, Xây dựng công trình điện, Xây dựng công trình cấp, thoát nước, Xây dựng công trình viễn thông, thông tin liên lạc, Xây dựng công trình công ích khác, Xây dựng công trình kỹ thuật dân dụng khác, Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan",/3301685257-cong-ty-tnhh-mtv-tu-van-dich-vu-xay-dung-do-dac-thiet-ke-nam-phat
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH ĐẦU TƯ XÂY DỰNG THÀNH CHỨC,,THANH CHUC CONSTRUCTION INVESTMENT COMPANY LIMITED,3301684609,"Thôn 10, Xã Hương Xuân, Huyện Nam Đông, Tỉnh Thừa Thiên Huế, Việt Nam",PHẠM THANH CHỨC,0977977516,2020-11-02,Cục Thuế Tỉnh TT-Huế,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),2024-12-10 00:41:01,Xây dựng nhà để ở,"4101, 4102, 4211, 4212, 4221, 4222, 4223, 4229, 4291, 4292, 4293, 4299, 4311, 4312, 4329, 4330, 4390, 4659, 4662, 4663, 4752, 4753, 4759, 7110, 7410","Xây dựng nhà để ở, Xây dựng nhà không để ở, Xây dựng công trình đường sắt, Xây dựng công trình đường bộ, Xây dựng công trình điện, Xây dựng công trình cấp, thoát nước, Xây dựng công trình viễn thông, thông tin liên lạc, Xây dựng công trình công ích khác, Xây dựng công trình thủy, Xây dựng công trình khai khoáng, Xây dựng công trình chế biến, chế tạo, Xây dựng công trình kỹ thuật dân dụng khác, Phá dỡ, Chuẩn bị mặt bằng, Lắp đặt hệ thống xây dựng khác, Hoàn thiện công trình xây dựng, Hoạt động xây dựng chuyên dụng khác, Bán buôn máy móc, thiết bị và phụ tùng máy khác, Bán buôn kim loại và quặng kim loại, Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng, Bán lẻ đồ ngũ kim, sơn, kính và thiết bị lắp đặt khác trong xây dựng trong các cửa hàng chuyên doanh, Bán lẻ thảm, đệm, chăn, màn, rèm, vật liệu phủ tường và sàn trong các cửa hàng chuyên doanh, Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu trong các cửa hàng chuyên doanh, Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan, Hoạt động thiết kế chuyên dụng",/3301684609-cong-ty-tnhh-dau-tu-xay-dung-thanh-chuc
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH HOSHI TQC,"HOSHI TQC CO., LTD",HOSHI TQC COMPANY LIMITED,3301681301,"Cụm Công nghiệp Hương Hòa, Xã Hương Xuân, Huyện Nam Đông, Tỉnh Thừa Thiên Huế, Việt Nam",DƯƠNG VĂN TÚ,0766777246,2020-08-21,Thành phố Huế - VP Chi cục Thuế khu vực XII,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Ngừng hoạt động và đã đóng MST,2025-06-13 06:54:01,Sản xuất các loại dây bện và lưới,"1311, 1313, 1394, 2030, 4641, 4649, 4659, 4669, 4751, 4782, 8299","Sản xuất sợi, Hoàn thiện sản phẩm dệt, Sản xuất các loại dây bện và lưới, Sản xuất sợi nhân tạo, Bán buôn vải, hàng may sẵn, giày dép, Bán buôn đồ dùng khác cho gia đình, Bán buôn máy móc, thiết bị và phụ tùng máy khác, Bán buôn chuyên doanh khác chưa được phân vào đâu, Bán lẻ vải, len, sợi, chỉ khâu và hàng dệt khác trong các cửa hàng chuyên doanh, Bán lẻ hàng dệt, may sẵn, giày dép lưu động hoặc tại chợ, Hoạt động dịch vụ hỗ trợ kinh doanh khác còn lại chưa được phân vào đâu",/3301681301-cong-ty-tnhh-hoshi-tqc
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH THÀNH LONG BẢO,,,3301676830,"Thôn Phú Thuận, Xã Hương Xuân, Huyện Nam Đông, Tỉnh Thừa Thiên Huế, Việt Nam",MAI BÁ THÀNH,0981595515,2020-06-22,Đội Thuế huyện Phú Lộc,Công ty trách nhiệm hữu hạn ngoài NN,Không hoạt động tại địa chỉ đã đăng ký,2025-06-12 06:09:01,Xây dựng nhà để ở,"4101, 4102, 4211, 4212, 4221, 4222, 4223, 4229, 4291, 4292, 4293, 4299, 4311, 4312, 4329, 4330, 4390, 4659, 4662, 4663, 4752, 4753, 4759, 7110, 7410","Xây dựng nhà để ở, Xây dựng nhà không để ở, Xây dựng công trình đường sắt, Xây dựng công trình đường bộ, Xây dựng công trình điện, Xây dựng công trình cấp, thoát nước, Xây dựng công trình viễn thông, thông tin liên lạc, Xây dựng công trình công ích khác, Xây dựng công trình thủy, Xây dựng công trình khai khoáng, Xây dựng công trình chế biến, chế tạo, Xây dựng công trình kỹ thuật dân dụng khác, Phá dỡ, Chuẩn bị mặt bằng, Lắp đặt hệ thống xây dựng khác, Hoàn thiện công trình xây dựng, Hoạt động xây dựng chuyên dụng khác, Bán buôn máy móc, thiết bị và phụ tùng máy khác, Bán buôn kim loại và quặng kim loại, Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng, Bán lẻ đồ ngũ kim, sơn, kính và thiết bị lắp đặt khác trong xây dựng trong các cửa hàng chuyên doanh, Bán lẻ thảm, đệm, chăn, màn, rèm, vật liệu phủ tường và sàn trong các cửa hàng chuyên doanh, Bán lẻ đồ điện gia dụng, giường, tủ, bàn, ghế và đồ nội thất tương tự, đèn và bộ đèn điện, đồ dùng gia đình khác chưa được phân vào đâu trong các cửa hàng chuyên doanh, Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan, Hoạt động thiết kế chuyên dụng",/3301676830-cong-ty-tnhh-thanh-long-bao
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH SẢN XUẤT VÔI VÀ THAN HOẠT TÍNH NAM ĐÔNG,,,3301677048,"Cụm Công Nghiệp Hương Hòa, Xã Hương Xuân, Huyện Nam Đông, Tỉnh Thừa Thiên Huế, Việt Nam",ĐOÀN THỊ KHÁNH TRANG,0918327955 - 0842297,2020-06-11,Đội Thuế huyện Phú Lộc,Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN,Không hoạt động tại địa chỉ đã đăng ký,2025-06-12 02:37:01,"Sản xuất xi măng, vôi và thạch cao","0118, 0119, 0128, 1910, 2012, 2394, 3290, 3511, 3512, 3520, 3530, 3811, 3821, 3822, 3900, 4101, 4102, 4211, 4212, 4221, 4222, 4223, 4229, 4291, 4292, 4293, 4299, 4312, 4329, 4330, 4390, 4511, 4512, 4659, 4661, 4669, 4933, 7310, 7490, 7710, 7730","Trồng rau, đậu các loại và trồng hoa, cây cảnh, Trồng cây hàng năm khác, Trồng cây gia vị, cây dược liệu, Sản xuất than cốc, Sản xuất phân bón và hợp chất ni tơ, Sản xuất xi măng, vôi và thạch cao, Sản xuất khác chưa được phân vào đâu, Sản xuất điện, Truyền tải và phân phối điện, Sản xuất khí đốt, phân phối nhiên liệu khí bằng đường ống, Sản xuất, phân phối hơi nước, nước nóng, điều hoà không khí và sản xuất nước đá, Thu gom rác thải không độc hại, Xử lý và tiêu huỷ rác thải không độc hại, Xử lý và tiêu huỷ rác thải độc hại, Xử lý ô nhiễm và hoạt động quản lý chất thải khác, Xây dựng nhà để ở, Xây dựng nhà không để ở, Xây dựng công trình đường sắt, Xây dựng công trình đường bộ, Xây dựng công trình điện, Xây dựng công trình cấp, thoát nước, Xây dựng công trình viễn thông, thông tin liên lạc, Xây dựng công trình công ích khác, Xây dựng công trình thủy, Xây dựng công trình khai khoáng, Xây dựng công trình chế biến, chế tạo, Xây dựng công trình kỹ thuật dân dụng khác, Chuẩn bị mặt bằng, Lắp đặt hệ thống xây dựng khác, Hoàn thiện công trình xây dựng, Hoạt động xây dựng chuyên dụng khác, Bán buôn ô tô và xe có động cơ khác, Bán lẻ ô tô con (loại 12 chỗ ngồi trở xuống), Bán buôn máy móc, thiết bị và phụ tùng máy khác, Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan, Bán buôn chuyên doanh khác chưa được phân vào đâu, Vận tải hàng hóa bằng đường bộ, Quảng cáo, Hoạt động chuyên môn, khoa học và công nghệ khác chưa được phân vào đâu, Cho thuê xe có động cơ, Cho thuê máy móc, thiết bị và đồ dùng hữu hình khác",/3301677048-cong-ty-tnhh-san-xuat-voi-va-than-hoat-tinh-nam-dong
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH MỘT THÀNH VIÊN PHẠM THÀNH DUY,,,3301617426,"Thôn 10, Xã Hương Xuân, Huyện Nam Đông, Tỉnh Thừa Thiên Huế, Việt Nam",NGUYỄN VĂN PHÚ,,2017-12-07,Đội Thuế huyện Phú Lộc,Công ty trách nhiệm hữu hạn ngoài NN,Không hoạt động tại địa chỉ đã đăng ký,2025-06-06 10:43:01,Xây dựng nhà các loại,"0210, 0221, 0222, 0810, 0899, 1610, 1622, 4100, 4210, 4220, 4290, 4330, 4663, 4752, 4933","Trồng rừng và chăm sóc rừng, Khai thác gỗ, Khai thác lâm sản khác trừ gỗ, Khai thác đá, cát, sỏi, đất sét, Khai khoáng khác chưa được phân vào đâu, Cưa, xẻ, bào gỗ và bảo quản gỗ, Sản xuất đồ gỗ xây dựng, Xây dựng nhà các loại, Xây dựng công trình đường sắt và đường bộ, Xây dựng công trình công ích, Xây dựng công trình kỹ thuật dân dụng khác, Hoàn thiện công trình xây dựng, Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng, Bán lẻ đồ ngũ kim, sơn, kính và thiết bị lắp đặt khác trong xây dựng trong các cửa hàng chuyên doanh, Vận tải hàng hóa bằng đường bộ",/3301617426-cong-ty-tnhh-mot-thanh-vien-pham-thanh-duy
Miền Trung,Miền Trung,Huế,CÔNG TY CỔ PHẦN ĐẦU TƯ HÀ AN PHÚ LỘC,,HA AN PHU LOC INVESTMENT JOINT STOCK COMPANY,3301550570,"Thôn 11, Xã Hương Xuân, Huyện Nam Đông, Tỉnh Thừa Thiên Huế, Việt Nam",TRẦN TRUNG KHÁNH,,2014-10-23,Thành phố Huế - VP Chi cục Thuế khu vực XII,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),,Xây dựng nhà không để ở,"0610, 0620, 0710, 0730, 0810, 4101, 4102, 4211, 4212, 4220, 4221, 4222, 4223, 4229, 4311, 4312, 4321, 4322, 4330, 4530, 4659, 4661, 4662, 4663, 4933, 5210, 7110","Khai thác dầu thô, Khai thác khí đốt tự nhiên, Khai thác quặng sắt, Khai thác quặng kim loại quí hiếm, Khai thác đá, cát, sỏi, đất sét, Xây dựng nhà để ở, Xây dựng nhà không để ở, Xây dựng công trình đường sắt, Xây dựng công trình đường bộ, Xây dựng công trình công ích, Xây dựng công trình điện, Xây dựng công trình cấp, thoát nước, Xây dựng công trình viễn thông, thông tin liên lạc, Xây dựng công trình công ích khác, Phá dỡ, Chuẩn bị mặt bằng, Lắp đặt hệ thống điện, Lắp đặt hệ thống cấp, thoát nước, lò sưởi và điều hoà không khí, Hoàn thiện công trình xây dựng, Bán phụ tùng và các bộ phận phụ trợ của ô tô và xe có động cơ khác, Bán buôn máy móc, thiết bị và phụ tùng máy khác, Bán buôn nhiên liệu rắn, lỏng, khí và các sản phẩm liên quan, Bán buôn kim loại và quặng kim loại, Bán buôn vật liệu, thiết bị lắp đặt khác trong xây dựng, Vận tải hàng hóa bằng đường bộ, Kho bãi và lưu giữ hàng hóa, Hoạt động kiến trúc và tư vấn kỹ thuật có liên quan",/3301550570-cong-ty-co-phan-dau-tu-ha-an-phu-loc
Miền Trung,Miền Trung,Huế,CÔNG TY CỔ PHẦN CAO SU THỪA THIÊN HUẾ,HURUCO,,3300101149,"Thôn 9, Xã Hương Xuân, Huyện Nam Đông, Tỉnh Thừa Thiên Huế, Việt Nam",NGUYỄN THỊ DIỆU THẢO,0979725324,2005-04-08,Đội Thuế huyện Phú Lộc,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),2025-03-28 10:47:01,,"4932, 5610","Vận tải hành khách đường bộ khác, Nhà hàng và các dịch vụ ăn uống phục vụ lưu động",/3300101149-cong-ty-co-phan-cao-su-thua-thien-hue
Miền Trung,Miền Trung,Huế,CÔNG TY TNHH MTV XÂY DỰNG THIÊN PHÚ,,,3301033251,"Thôn 9, Xã Hương Xuân, Huyện Nam Đông, Tỉnh Thừa Thiên Huế, Việt Nam",HỒ TẤT THIÊN,0972651999,2009-06-23,Đội Thuế huyện Phú Lộc,Công ty trách nhiệm hữu hạn ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),2025-05-16 03:05:01,Xây dựng công trình đường bộ,"0810, 1610, 4101, 4102, 4211, 4212, 4221, 4222, 4299, 4311, 4312, 4321, 4322, 4330, 4390, 5229","Khai thác đá, cát, sỏi, đất sét, Cưa, xẻ, bào gỗ và bảo quản gỗ, Xây dựng nhà để ở, Xây dựng nhà không để ở, Xây dựng công trình đường sắt, Xây dựng công trình đường bộ, Xây dựng công trình điện, Xây dựng công trình cấp, thoát nước, Xây dựng công trình kỹ thuật dân dụng khác, Phá dỡ, Chuẩn bị mặt bằng, Lắp đặt hệ thống điện, Lắp đặt hệ thống cấp, thoát nước, lò sưởi và điều hoà không khí, Hoàn thiện công trình xây dựng, Hoạt động xây dựng chuyên dụng khác, Hoạt động dịch vụ hỗ trợ khác liên quan đến vận tải",/3301033251-cong-ty-tnhh-mtv-xay-dung-thien-phu
Miền Trung,Miền Trung,Huế,HẠT QUẢN LÝ ĐƯỜNG BỘ LA SƠN - TÚY LOAN CHI NHÁNH THUỘC CÔNG TY CỔ PHẦN QUẢN LÝ VÀ XÂY DỰNG ĐƯỜNG BỘ THỪA THIÊN HUẾ,Hạt Quản lý đường bộ La Sơn - Túy Loan,,3300100071-017,"Thôn Cha Măng, Xã Thượng Lộ, Huyện Nam Đông, Tỉnh Thừa Thiên Huế, Việt Nam",TRẦN ĐÌNH NHẬT TRÌNH,0944 203 344,2023-01-10,Cục Thuế Thành phố Huế,Công ty cổ phần ngoài NN,Đang hoạt động (đã được cấp GCN ĐKT),2025-02-15 07:50:02,Xây dựng công trình đường bộ,"4212, 4299","Xây dựng công trình đường bộ, Xây dựng công trình kỹ thuật dân dụng khác",/3300100071-017-hat-quan-ly-duong-bo-la-son-tuy-loan-chi-nhanh-thuoc-cong-ty-co-phan-quan-ly-va-xay-dung-duong-bo-thua-thien-hue
